Item,Price
88 Acres Bar - Dark Chocolate Sea Salt,3.00
88 Acres Bar - Blueberry Lemon,3.00
88 Acres Bar - Oatmeal Chocolate Chip,3.00
88 Acres Bar - Cinnamon Maple,3.00
"Bob's Red Mill Bob's Bar - Peanut Butter, Coconut & Oats",-1.00
RXBAR Chocolate Sea Salt,3.25
RXBAR Peanut Butter Chocolate,3.25
RXBAR Nut Butter & Oat,3.25
GoMacro Bar - Peanut Butter,3.50
GoMacro Bar - Dark Chocolate + Almond,3.50
GoMacro Bar - Maple Sea Salt,3.50
GoMacro Bar - Banana + Almond Butter,3.50
Kind Bar - Dark Chocolate Nuts & Sea Salt,3.00
Kind Bar - Caramel Almond & Sea Salt,3.00
Kind Bar - Dark Chocolate Cherry Cashew,3.00
Kind Bar - Almond & Choconut,3.00
Clif Bar - Chocolate Peanut Butter,3.00
Clif Bar - Blueberry Almond Crisp,3.00
Clif Bar - Crunchy Peanut Butter,3.00
Clif Bar - Chocolate Brownie,3.00
Nature's Bakery Fig Bar - Raspberry,2.50
Nature's Bakery Fig Bar - Original Fig,2.50
Nature's Bakery Fig bar - Blueberry,2.50
Kodiak Flapjack Power Cup - Buttermilk & Maple,4.00
Kodiak Flapjack Power Cup - Chocolate Chip & Maple,4.00
Bob's Red Mill Gluten Free Oatmeal  - Apple pieces and Cinnamon,3.90
Bob's Red Mill Gluten Free Oatmeal - Classic,3.90
Bob's Red Mill Gluten Free Oatmeal - Brown Sugar and Maple,3.90
Catalina Crunch Cereal - Cinnamon Toast ,10.35
Catalina Crunch Cereal - Dark Chocolate,10.35
Cinnamon Toast Crunch Cereal,2.40
Cocoa Puffs Cereal,2.40
Lucky Charms Cereal,2.40
Cheerios Cereal,2.40
Cheerios Multi Grain Cereal,2.40
Living juice  Carrot Kick,-1.00
Living juice  Pineapple Punch,-1.00
Living juice  Red Radiance ,-1.00
Sol Ti Shot  Turmeric shot,4.25
Sol Ti Shot  Ginger shot,4.25
Sol Ti Shot  Superboost,4.25
Sol Ti Shot  Immuniti,4.25
Stumpton Coffee Chocolate Cold Brew with OATLY,5.00
Stumpton Coffee Original Cold Brew with OATLY,5.00
Stumpton Coffee Horchata Cold Brew with OATLY,5.00
Muscle Milk Muscle Milk PRO - intense vanilla,7.00
Muscle Milk Muscle Milk PRO - slammin' strawberry,7.00
Muscle Milk Muscle Milk PRO - knockout chocolate,7.00
Core Power Fairlife - Strawberry Banana,6.00
Core Power Fairlife -  Chocolate,6.00
Core Power Fairlife - Ultra Filtered Milk,6.00
Tropicana Orange Juice Original (No Pulp),3.00
Tropicana Cranberry Cocktail ,2.25
Tropicana  Apple Juice ,2.25
Naked Naked Juice Blue Machine ,5.00
Naked Naked Juice Green Machine ,5.00
Naked Naked Juice Strawberry Banana,5.00
Naked Naked Juice Pina Colada,5.00
Pure Leaf Pure Leaf Green Tea Unsweetened ,3.25
Pure Leaf Pure Leaf Sweet Tea ,3.25
Pure Leaf Pure Leaf Raspberry,3.25
Pure Leaf Pure Leaf Lemon,3.25
Pure Leaf Pure Leaf Peach,3.25
Vitamin Water  Zero Sugar Squeezed Lemonade,3.10
Vitamin Water  Focus Kiwi Strawberry,3.10
Vitamin Water  Energy Tropical Citrus ,3.10
Vitamin Water  Essential Orange-Orange,3.10
Vitamin Water  Refresh Tropical Mango ,3.10
Vitamin Water  Power-c Dragonfruit,3.10
Vitamin Water  XXX Açai Blueberry Pomegranate ,3.10
Coca Cola  Orignal Taste ,4.00
Coca Cola  Diet Coke,4.00
Coca Cola  Cherry Coke,4.00
Canada Dry Gingerale,4.00
Fairlife Lactose-Free 2% Milk,-1.00
Muscle Milk Intense Vanilla Protein Shake,-1.00
Muscle Milk Strawberries 'N Creme Protein Shake,-1.00
Muscle Milk Chocolate Protein Shake,-1.00
Starbucks Mocha Frappuccino,4.75
Starbucks Coffee Frappuccino,4.75
Starbucks Vanilla Frappuccino,4.75
Starbucks Vanilla Sweet Cream Nitro Cold Brew ,5.00
Gatorade Zero Sugar Glacier Freeze? ,3.50
Gatorade Ice Punch,3.50
Gatorade Cool Blue,3.50
Gatorade Berry,3.50
Gatorade Lemon Lime,3.50
Gatorade Orange ,3.50
Gatorade Gatorlyte Cherry Lime,4.50
Gatorade Gatorlyte Orange,4.50
Life Wtr Bottled Water,3.90
Bubly  Lime Bubly,2.25
Bubly  Blackberry Bubly,2.25
Bubly  Grapefruit/Peach Bubly,2.25
Pepsi Orginal Pepsi,-1.00
Pepsi Diet Pepsi,-1.00
Schweppes Gingerale ,-1.00
Schweppes Lemon Lime,-1.00
Dr Pepper Original Dr Pepper,-1.00
Dr Pepper Diet Dr Pepper ,-1.00
Amy's Snacks - Cheese Pizza,7.00
Amy's Mac & Cheese,7.00
Amy's Bowls - Tortellini,9.00
Amy's Bowls - Country Cheddar,9.00
Amy's Bowls - 3 Chese & Kale Bake,9.00
Amy's Bowls - Mushroom Risotto,9.00
Amy's Chese Enchilada,8.70
Amy's Burrito,6.00
Evol Teriyaki Chicken,6.70
Oh snap  Hottie Bites - Spicy Pickles,2.50
Oh snap  Dilly Bites - Spicy Pickles,2.50
Cedar Snack Pack  dark chocolate hommus with pretzels,4.20
Cedar Snack Pack  Garlic Hommus and Chips ,4.20
Cedar Snack Pack  Original Hommus and Chips ,4.20
Esti tzatziki and pita chips ,5.00
Esti Baba Ghanoush and pita chips ,5.00
Esti Eggplant Hummus ,5.55
Rosell String Cheese,1.00
Cabot Cheese,1.00
Organic Valley String Cheese,1.00
Fillo's  Walking Tamales - bean salsa habanero,-1.00
Fillo's  Walking Tamales - bean salsa verde,-1.00
Mavuno Harvest Dried Organic Jackfruit,4.20
Mavuno Harvest Dried Organic Coconut,4.20
Mamma Chia Chia Squeeze - Green Magic,3.00
Mamma Chia Chia Squeeze - Strawberry Banana,3.00
Mamma Chia Chia Squeeze - Wild Raspberry,3.00
Mamma Chia Chia Squeeze - Blackberry Bliss,3.00
Noka Superfood Smoothie - Cherry Acai,3.90
Noka Superfood Smoothie - Mango Coconut,3.90
That's It Fruit Bar - Apple + Blueberry,2.25
That's It Fruit Bar - Apple + Mango,2.25
Santa Cruz Apple Sauce,2.50
Santa Cruz Apple Sauce,2.50
Yale Oranges,-1.00
Yale Apple,-1.00
Yale Banana,-1.00
Harvest Snaps  Baked Green pea Snacks,4.40
Quinn Sea Salt pretzel Sticks,-1.00
Quinn  Creaming Peanut Butter filled pretzel nuggets,-1.00
 Parm Crisps,-1.00
Good Health Peanut butter filled pretzels,-1.00
Terra Sweet Potato Chips ,-1.00
Back to nature  Classic Round,-1.00
Back to nature  Multigrain,-1.00
