Item,Price,img_route
Chobani - Vanilla,3.35,../../assets/images/items/Bowow-Builder-Images/Chobani - Vanilla.webp
Chobani - Less Sugar Ripe Strawberry,3.35,../../assets/images/items/Bowow-Builder-Images/Chobani - Less Sugar Ripe Strawberry.webp
Chobani - Non Fat Plain,3.35,../../assets/images/items/Bowow-Builder-Images/Chobani - Non Fat Plain.webp
Chobani - Less Sugar Wild Blueberry,3.35,../../assets/images/items/Bowow-Builder-Images/Chobani - Less Sugar Wild Blueberry.webp
Cocojune - Strawberry Rhubarb Yogurt,3.9,../../assets/images/items/Bowow-Builder-Images/Cocojune - Strawberry Rhubarb Yogurt.webp
Cocojune - Coconut Yogurt,3.9,../../assets/images/items/Bowow-Builder-Images/Cocojune - Coconut Yogurt.webp
La fermiere - Mango Passion fruit,4.5,../../assets/images/items/Bowow-Builder-Images/La fermiere - Mango Passion fruit.webp
La fermiere - Hibiscus Rasberry,4.5,../../assets/images/items/Bowow-Builder-Images/La fermiere - Hibiscus Rasberry.webp
La fermiere - Vanilla,4.5,../../assets/images/items/Bowow-Builder-Images/La fermiere - Vanilla.webp
Siggi's - Black Cherry,3.9,../../assets/images/items/Bowow-Builder-Images/Siggi's - Black Cherry.webp
Siggi's - Vanilla,3.9,../../assets/images/items/Bowow-Builder-Images/Siggi's - Vanilla.webp
Pocky Sticks - Strawberry,2.80,../../assets/images/items/Bowow-Builder-Images/Pocky Sticks - Strawberry.webp
Pocky Sticks - Chocolate,2.80,../../assets/images/items/Bowow-Builder-Images/Pocky Sticks - Chocolate.webp
Pocky Sticks - Matcha,2.80,../../assets/images/items/Bowow-Builder-Images/Pocky Sticks - Matcha.webp
Greystone - Vegan Fudge Brownie,3.00,../../assets/images/items/Bowow-Builder-Images/Greystone - Vegan Fudge Brownie.webp
Greystone - Vegan Cinnamon Roll,3.00,../../assets/images/items/Bowow-Builder-Images/Greystone - Vegan Cinnamon Roll.webp
La Fermieroe Dessert - Pistachio Creme,4.50,../../assets/images/items/Bowow-Builder-Images/La Fermieroe Dessert - Pistachio Creme.webp
Marie Morin Dessert - Mousse Cake,4.50,../../assets/images/items/Bowow-Builder-Images/Marie Morin Dessert - Mousse Cake.webp
Marie Morin Dessert - Cheesecake,4.50,../../assets/images/items/Bowow-Builder-Images/Marie Morin Dessert - Cheesecake.webp
Kozyshack - Rice Pudding,1.10,../../assets/images/items/Bowow-Builder-Images/Kozyshack - Rice Pudding.webp
Swiss Rolls - Strawberry,6.00,../../assets/images/items/Bowow-Builder-Images/Swiss Rolls - Strawberry.webp
Swiss Rolls - Cocoa,6.00,../../assets/images/items/Bowow-Builder-Images/Swiss Rolls - Cocoa.webp
Swiss Rolls - Old Fashion,6.00,../../assets/images/items/Bowow-Builder-Images/Swiss Rolls - Old Fashion.webp
Swiss Rolls - Green Tea,6.00,../../assets/images/items/Bowow-Builder-Images/Swiss Rolls - Green Tea.webp
Hail Merry Cups - Key Lime Pie,4.50,../../assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Key Lime Pie.webp
Hail Merry Cups - Espresso,4.50,../../assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Espresso.webp
Hail Merry Cups - Almond Butter,4.50,../../assets/images/items/Bowow-Builder-Images/Hail Merry Cups - Almond Butter.webp
Perfect Bar - Salted Caramel,4.00,../../assets/images/items/Bowow-Builder-Images/Perfect Bar - Salted Caramel.webp
Perfect Bar - Chocolate Hazelnut Crisp,4.00,../../assets/images/items/Bowow-Builder-Images/Perfect Bar - Chocolate Hazelnut Crisp.webp
Perfect Bar - Dark Chocolate Almond,4.00,../../assets/images/items/Bowow-Builder-Images/Perfect Bar - Dark Chocolate Almond.webp
Perfect Bar - Peanut Butter,4.00,../../assets/images/items/Bowow-Builder-Images/Perfect Bar - Peanut Butter.webp
Abe's Mom - Gluten Free Muffin - coffee cake,3.50,../../assets/images/items/Bowow-Builder-Images/Abe's Mom - Gluten Free Muffin - coffee cake.webp
Abe's Mom - Vegan Muffin - blueberry,3.50,../../assets/images/items/Bowow-Builder-Images/Abe's Mom - Vegan Muffin - blueberry.webp
Bakerly - Chocolate Hazelnut Crepes,6,../../assets/images/items/Bowow-Builder-Images/Bakerly - Chocolate Hazelnut Crepes.webp
Bakerly - Strawberry Filled Crepes,6,../../assets/images/items/Bowow-Builder-Images/Bakerly - Strawberry Filled Crepes.webp
Justins - Peanut Butter Cups - Dark Chocolate,2.8,../../assets/images/items/Bowow-Builder-Images/Justins - Peanut Butter Cups - Dark Chocolate.webp
Justin's - Almond Butter Cups - Dark Chocolate,2.8,../../assets/images/items/Bowow-Builder-Images/Justin's - Almond Butter Cups - Dark Chocolate.webp
Justin's - Almond Butter Squeeze,1.7,../../assets/images/items/Bowow-Builder-Images/Justin's - Almond Butter Squeeze.webp
Justin's - Hazelnut & Almond Butter Squeeze,1.7,../../assets/images/items/Bowow-Builder-Images/Justin's - Hazelnut & Almond Butter Squeeze.webp
Pipcorn - Cinnamon Sugar Twists,-1,../../assets/images/items/Bowow-Builder-Images/Pipcorn - Cinnamon Sugar Twists.webp
Tortilleria Mi Niña - Organic Sea Salt,-1,../../assets/images/items/Bowow-Builder-Images/Tortilleria Mi Niña - Organic Sea Salt.webp
The Bites Company - Biscotti Lemon Bites (4.5 OZ),5.5,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Lemon Bites (4.5 OZ).webp
The Bites Company - Biscotti Almond Bites (4.5 OZ),5.5,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Almond Bites (4.5 OZ).webp
The Bites Company - Biscotti Chocolate Bites (4.5 OZ),5.5,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Chocolate Bites (4.5 OZ).webp
Tate's - Tiny Cookies,2.8,../../assets/images/items/Bowow-Builder-Images/Tate's - Tiny Cookies.webp
Michel & Augustin - Cookie Squares,2.5,../../assets/images/items/Bowow-Builder-Images/Michel & Augustin - Cookie Squares.webp
Lenny & Larry's - The Complete Cookie - White Chocolate Flavored Macademia,3.5,../../assets/images/items/Bowow-Builder-Images/Lenny & Larry's - The Complete Cookie - White Chocolate Flavored Macademia.webp
Lenny & Larry's - The Complete Cookie - Snickerdoodle,3.5,../../assets/images/items/Bowow-Builder-Images/Lenny & Larry's - The Complete Cookie - Snickerdoodle.webp
Annie's - Bunny Grahams - Honey,7.3,../../assets/images/items/Bowow-Builder-Images/Annie's - Bunny Grahams - Honey.webp
Tate's - Glutten Free Chocolate Chip Cookies,6.7,../../assets/images/items/Bowow-Builder-Images/Tate's - Glutten Free Chocolate Chip Cookies.webp
Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts,6.95,../../assets/images/items/Bowow-Builder-Images/Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts.webp
The Bites Company - Biscotti Chocolate Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Chocolate Bites (1.25 OZ).webp
The Bites Company - Biscotti Lemon Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Lemon Bites (1.25 OZ).webp
The Bites Company - Biscotti Brown Butter Bites (1.25 OZ),3,../../assets/images/items/Bowow-Builder-Images/The Bites Company - Biscotti Brown Butter Bites (1.25 OZ).webp
Free 2B - Sunflower Butter Cups - Chocolate,6.75,../../assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Chocolate.webp
Free 2B - Sunflower Butter Cups - Dark Chocolate,4.75,../../assets/images/items/Bowow-Builder-Images/Free 2B - Sunflower Butter Cups - Dark Chocolate.webp
Panda - Licorice - Soft Original,4.75,../../assets/images/items/Bowow-Builder-Images/Panda - Licorice - Soft Original.webp
Panda - Licorice - Raspberry,4.75,../../assets/images/items/Bowow-Builder-Images/Panda - Licorice - Raspberry.webp
Darrell Lea - Australian Licorice - Original,4.75,../../assets/images/items/Bowow-Builder-Images/Darrell Lea - Australian Licorice - Original.webp
Darrell Lea - Australian Licorice - Strawberry,4.75,../../assets/images/items/Bowow-Builder-Images/Darrell Lea - Australian Licorice - Strawberry.webp
YumEarth - Glutten Free Gummy Bears,9.5,../../assets/images/items/Bowow-Builder-Images/YumEarth - Glutten Free Gummy Bears.webp
Smart Sweets - Sweet Fish,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Sweet Fish.webp
Smart Sweets - Sourblast Buddies,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Sourblast Buddies.webp
Smart Sweets - Peach Rings,4,../../assets/images/items/Bowow-Builder-Images/Smart Sweets - Peach Rings.webp
