Item,Price
Chobani - Vanilla,3.35
Chobani - Less Sugar Ripe Strawberry,3.35
Chobani - Non Fat Plain,3.35
Chobani - Less Sugar Wild Blueberry,3.35
Cocojune - Strawberry Rhubarb Yogurt,3.9
Cocojune - Coconut Yogurt,3.9
La fermiere - Mango Passion fruit,4.5
La fermiere - Hibiscus Rasberry,4.5
La fermiere - Vanilla,4.5
Siggi's - Black Cherry,3.9
Siggi's - Vanilla,3.9
Pocky Sticks - Strawberry,2.80
Pocky Sticks - Chocolate,2.80
Pocky Sticks -  Matcha,2.80
Greystone - Vegan Fudge Brownie,3.00
Greystone - Vegan Cinnamon Roll,3.00
La Fermieroe Dessert  - Pistachio Creme,4.50
Marie Morin Dessert  - Mousse Cake,4.50
Marie Morin Dessert  - Cheesecake,4.50
Kozyshack  - Rice Pudding ,1.10
Swiss Rolls - Strawberry,6.00
Swiss Rolls - Cocoa,6.00
Swiss Rolls - Old Fashion,6.00
Swiss Rolls - Green Tea,6.00
Hail Merry Cups - Key Lime Pie,4.50
Hail Merry Cups - Espresso,4.50
Hail Merry Cups  - Almond Butter,4.50
Perfect Bar  - Salted Caramel,4.00
Perfect Bar  - Chocolate Hazelnut Crisp,4.00
Perfect Bar  - Dark Chocolate Almond,4.00
Perfect Bar  - Peanut Butter,4.00
Abe's Mom  - Gluten Free Muffin - coffee cake ,3.50
Abe's Mom  - Vegan Muffin - blueberry,3.50
Bakerly - Chocolate Hazelnut Crepes,6
Bakerly - Strawberry Filled Crepes,6
Justins - Peanut Butter Cups - Dark Chocolate,2.8
Justin's - Almond Butter Cups - Dark Chocolate,2.8
Justin's - Almond Butter Squeeze,1.7
Justin's  - Hazelnut & Almond Butter Squeeze,1.7
Pipcorn - Cinnamon Sugar Twists,-1
Tortilleria Mi Niña - Organic Sea Salt ,-1
The Bites Company - Biscotti Lemon Bites (4.5 OZ),5.5
The Bites Company - Biscotti Almond Bites (4.5 OZ),5.5
The Bites Company - Biscotti Chocolate Bites (4.5 OZ),5.5
Tate's - Tiny Cookies,2.8
Michel & Augustin - Cookie Squares,2.5
Lenny & Larry's - The Complete Cookie - White Chocolate Flavored Macademia,3.5
Lenny & Larry's - The Complete Cookie - Snickerdoodle,3.5
Annie's - Bunny Grahams - Honey,7.3
Tate's - Glutten Free Chocolate Chip Cookies,6.7
Michel & Augustin - Cookies Squares - Chocolate and Toasted Hazelnuts,6.95
The Bites Company - Biscotti Chocolate Bites (1.25 OZ),3
The Bites Company - Biscotti Lemon Bites (1.25 OZ),3
The Bites Company - Biscotti Brown Butter Bites (1.25 OZ),3
Free 2B - Sunflower Butter Cups - Chocolate,6.75
Free 2B - Sunflower Butter Cups - Dark Chocolate,4.75
Panda - Licorice - Soft Original,4.75
Panda - Licorice - Raspberry,4.75
Darrell Lea - Australian Licorice - Original,4.75
Darrell Lea - Australian Licorice - Strawberry,4.75
YumEarth - Glutten Free Gummy Bears,9.5
Smart Sweets - Sweet Fish,4
Smart Sweets - Sourblast Buddies,4
Smart Sweets - Peach Rings,4
Sweet Street - Cinnamon Coffee Cake,2.5
Sweet Street - Salted Carmel Cookie,2.5
Sweet Street - Chewy Marshmallow,3
McVities - Digestives,5.75
Loacker - Wafers - Vanilla,2
Loacker - Wafers - Double Chocolate,2
Loacker - Wafers - Chocolate,2
Equal Exchange - Dark Caramel Crunch ,4.2
Equal Exchange - Extreme Dark,4.2
Equal Exchange - Panama Extra Dark,4.2
Equal Exchange - Coconut Milk,4.2
Chocolove - Chilies & Cherries in Dark Chocolate,5.05
Chocolove - Toffee & Almond in Milk Chocolate,5.05
Swoffle - French Vanilla,2.8
Swoffle - Caramel Filled,2.8
Swoffle - Dark Chocolate Dipped,2.8
Unreal - Dark Chocolate Peanut Butter Cups,6.7
Unreal - Dark Chocolate Crispy Quinoa Gems,6.7
Sanders - Dark Chocolate Sea Salt Caramels,8
Undercover - Chocolate Quinoa Crisps - Dark Chocolate + Sea Salt,5
Cocomels - Bites - Sea Salt in Dark Chocolate,6.15
Cocomels - Coconut Milk Caramels - Sea Salt,6.15
Halo - Ice Cream,8.95
Quinn - Peanut Butter Filled Nuggets,-1
Flax4Life - Chocolate Brownies,-1
Bakerly - French Pancakes To Go,6
Yale  - Avocado Roll,-1
Yale  - Vegtable Combo 10pc (brown rice) roll,7.99
Yale  - Cruncy California (white rice) roll,8.49
Yale  - Spicy Shrimp roll,8.49
Yale  - Spicy California roll (10pc),7.49
Yale  - California roll,6.99
Yale  - Shrimp Tempura Roll ,-1
Yale  - Crunchy Shrimp Tempura Roll,-1
Yale  - Red Rock Roll,10.49
Yale  - Dragon Roll,8.99
Yale  - Spicy Shrimp roll,-1
Yale  - Nigiri,-1
Yale  - Rainbow Roll,11.99
Yale  - Spicy Tuna Roll (10 pc) (brown rice),8.99
Yale  - Spicy Salmon Roll,-1
Yale  - Chef Sampler A ,13.99
Yale  - Salmon Avocado Roll (10 pc) (brown rice),8.99
"Yale  - Poke bowl - salmon, tuna",11.99
Sanukiya - Udon,-1
Amy's Soup - Golden Lentil,5.25
Amy's Soup  - Cream of Tomato,5.25
Amy's Soup  - Fresh Country Vegtable,5.25
Amy's Soup - Black bean vegtable,5.25
Amy's Soup  - Minestrone,5.25
Mike's Might Good  - Beef Ramen ,-1
Yale - Turkey Rango,8.5
Yale - Herbed Tuna Salad Sandwich,7.5
Yale - Turkey and Cheddar on Multigrain,7.5
Yale - Chicken Caprese,7.5
Yale - Roast Beef Onion Dip Sandwich,7.5
Yale - Peanut Butter & Jelly Sandwich on Multigrain,5.5
Yale - Buffalo Cauliflower Wrap,7.5
Yale - Ratatouille Wrap,7.5
The Good Crisp Company - Classic Original-- Small,2.5
The Good Crisp Company - Classic Original-- Large,5
The Good Crisp Company - Sour Cream & Onion -- Small,2.5
The Good Crisp Company - Sour Cream & Onion -- Large,5
Harvest Snaps  - Baked Green pea Snacks,4.40
Quinn - Sea Salt pretzel Sticks,-1
Quinn  - Creaming Peanut Butter filled pretzel nuggets,-1
Good Health - Peanut butter filled pretzels,-1
Terra - Sweet Potato Chips ,-1
Back to nature  - Classic Round,-1
Back to nature  - Multigrain,-1
Back to nature  - Himalayan Salt,-1
Nori Maki Arare - Rice Cracker With Seaweed (wasabi flavor),4.00
